h5_index,design_id,human_rating_modernity,ai_rating_modernity
296,296,,3.516368479700759
298,298,,3.2687479332089424
299,299,2.3846153846153846,3.439348673913628
302,302,,3.7154358001425862
303,303,,3.349920812062919
306,306,3.1666666666666665,3.3564350940287113
307,307,,3.4981496806722134
308,308,,3.489682417595759
310,310,3.5,3.715032660868019
312,312,,3.1684732139110565
313,313,3.1666666666666665,3.3109451131895185
314,314,3.7,3.7929443581961095
315,315,3.2222222222222223,3.5854878504760563
316,316,,3.1734369061887264
320,320,,3.290253672748804
321,321,,3.606185669777915
323,323,,3.401704062242061
324,324,,3.3996108574792743
325,325,,3.5232386658899486
330,330,,3.439871962182224
331,331,3.8333333333333335,3.524703870061785
332,332,,3.3652646681293845
334,334,,3.165834258310497
335,335,,3.672201599110849
340,340,,3.492606613319367
342,342,3.625,3.342684325762093
343,343,,3.2206556773744524
346,346,2.090909090909091,3.291671521961689
347,347,,3.481179902330041
348,348,3.375,3.366431732196361
349,349,,3.440408457070589
351,351,2.25,3.325407964643091
352,352,,3.344646453857422
353,353,,3.499381690984592
355,355,,3.6730361827649176
356,356,2.571428571428572,3.4000753122381866
357,357,,3.3984013069421053
358,358,4.0,3.6451147603802383
362,362,,3.6589797778287902
363,363,,3.2833426585420966
366,366,3.4,3.381861012428999
367,367,,3.198909977916628
368,368,,3.2226169551722705
370,370,,3.508282581344247
375,375,2.8,3.3242261060513556
377,377,2.7142857142857144,3.261109226383269
379,379,,3.494655488524586
380,380,,3.2491578459739685
382,382,,3.5020681004971266
383,383,,3.475119013339281
384,384,,3.3982393629848957
385,385,,3.3703562952578068
388,388,,3.778789028292522
391,391,,3.4053979348391294
394,394,3.142857142857143,3.595837049651891
397,397,2.583333333333333,3.3585185054689646
401,401,3.6666666666666665,3.574721015524119
403,403,,3.168447651900351
405,405,,3.5138175897300243
406,406,,3.4289507009088993
407,407,3.5454545454545454,4.0135510340332985
410,410,,3.678214830812067
415,415,3.333333333333333,3.802713066339493
417,417,,3.2044023470953107
420,420,,3.5222743649501354
421,421,,3.573683651862666
422,422,,3.4713052473962307
427,427,,3.3245994593016803
428,428,,3.600633346941322
430,430,,3.512340191984549
431,431,,3.6440897167194635
432,432,,3.227502509020269
433,433,2.8,3.5655362801626325
437,437,,3.583882703911513
438,438,,3.462686133570969
439,439,,3.4702148493379354
440,440,3.75,3.256819684058428
441,441,,3.300209941342473
442,442,,3.3946000766009092
444,444,,3.2709881234914064
445,445,,3.4995107972063124
452,452,,3.354937474243343
454,454,,3.3759793927893043
456,456,4.0,3.35297810472548
457,457,2.0,3.1643681202549487
